County	Hispanic	White	Black	Native	Asian	Pacific	won_2016	diff_2016
Autauga	2.6	75.8	18.5	0.4	1	0	Trump	-12202
Baldwin	4.5	83.1	9.5	0.6	0.7	0	Trump	-54371
Barbour	4.6	46.2	46.7	0.2	0.4	0	Trump	-583
Bibb	2.2	74.5	21.4	0.4	0.1	0	Trump	-4859
Blount	8.6	87.9	1.5	0.3	0.1	0	Trump	-20658
Bullock	4.4	22.2	70.7	1.2	0.2	0	Clinton	2391
Butler	1.2	53.3	43.8	0.1	0.4	0	Trump	-1175
Calhoun	3.5	73	20.3	0.2	0.9	0	Trump	-19606
Chambers	0.4	57.3	40.3	0.2	0.8	0	Trump	-2040
Cherokee	1.5	91.7	4.8	0.6	0.3	0	Trump	-7285
Chilton	7.6	80.5	10.2	0.4	0.3	0	Trump	-12159
Choctaw	0.4	55.9	42.9	0	0	0	Trump	-993
Clarke	0.3	53.4	45.3	0	0.4	0.4	Trump	-1397
Clay	3.2	79.9	14.4	0.7	0	0	Trump	-3996
Cleburne	2.3	92.5	2.9	0.2	0.4	0	Trump	-5054
Coffee	6.4	71.5	17.2	0.8	1.2	0	Trump	-11631
Colbert	2.4	78.9	15.6	0.6	0.3	0.1	Trump	-9422
Conecuh	1.6	51	44.7	0.3	0	0	Trump	-344
Coosa	2.1	65.2	30.7	0.1	0	0	Trump	-1596
Covington	1.5	83.3	13	0.5	0.3	0.1	Trump	-10843
Crenshaw	1.7	70.5	23.5	0.8	1.8	0	Trump	-2848
Cullman	4.3	92.2	1.1	0.4	0.6	0	Trump	-29004
Dale	6	69.8	19.4	0.5	1.2	0	Trump	-9390
Dallas	0.3	28.6	69.2	0.2	0.3	0	Clinton	7042
DeKalb	14	80.9	1.8	1.1	0.3	0.1	Trump	-18097
Elmore	2.8	73.6	21	0.2	0.5	0	Trump	-19183
Escambia	1.2	60.7	33.4	3.2	0.1	0	Trump	-5584
Etowah	3.6	78.5	15.4	0.3	0.7	0.1	Trump	-21782
Fayette	0.7	85.3	12	0	0.4	0	Trump	-5347
Franklin	15.7	78.5	4.1	0.7	0.1	0.1	Trump	-7269
Geneva	3.6	84	8.7	0.3	1.2	0	Trump	-8445
Greene	0.7	17.8	80.6	0.1	0.2	0	Clinton	3168
Hale	1.1	40	58.2	0.3	0.3	0.1	Clinton	1600
Henry	2.5	68.3	28.4	0	0	0	Trump	-3337
Houston	3.2	67.7	26.2	0.3	0.8	0	Trump	-20020
Jackson	2.7	89.4	3.1	1.1	0.4	0.1	Trump	-12980
Jefferson	3.8	51	42.2	0.2	1.6	0	Clinton	20967
Lamar	1.4	86	11.1	0.3	0	0	Trump	-4784
Lauderdale	2.4	84.9	9.9	0.4	0.7	0	Trump	-17858
Lawrence	2.1	76.5	11.4	5.4	0.1	0	Trump	-7121
Lee	3.7	68.2	23	0.1	3.3	0	Trump	-13334
Limestone	5.8	77.4	12.8	0.5	1.2	0	Trump	-19484
Lowndes	0.3	25.3	74.1	0	0	0	Clinton	3131
Macon	1.6	16.1	80.9	0.3	0.2	0	Clinton	5843
Madison	4.7	65.6	23.9	0.6	2.5	0.1	Trump	-26764
Marengo	2.3	45.8	51.3	0.1	0.1	0	Clinton	383
Marion	2.4	91.8	3.7	0.2	0.3	0	Trump	-9841
Marshall	12.7	82.7	1.9	0.4	0.5	0	Trump	-24304
Mobile	2.6	58.1	35	0.6	1.9	0	Trump	-22658
Monroe	1.1	54.8	41.8	1.3	0.3	0	Trump	-1461
Montgomery	3.4	36.9	55.8	0.2	2.2	0	Clinton	24741
Morgan	7.8	76.8	12.1	0.5	0.6	0.1	Trump	-26176
Perry	0.9	30	68	0	0.4	0	Clinton	2420
Pickens	1.6	55.2	42.3	0	0.1	0	Trump	-1482
Pike	0.9	57.1	38.2	0.8	2.1	0	Trump	-2642
Randolph	2.9	75.2	19.6	0.3	0.2	0.2	Trump	-5407
Russell	4.8	49.8	41.6	0.3	0.8	0.2	Clinton	367
St. Clair	2.2	86.3	9.4	0.4	0.8	0	Trump	-26029
Shelby	5.8	78.8	11.7	0.2	2	0	Trump	-49919
Sumter	0.4	24.8	72.4	0.4	1.7	0	Clinton	3158
Talladega	2.2	63.7	31.9	0.3	0.4	0	Trump	-8488
Tallapoosa	2.5	69	27.4	0.3	0	0	Trump	-7696
Tuscaloosa	3.2	63.5	30.6	0.1	1.5	0	Trump	-15955
Walker	2.3	89.6	5.7	0.1	0.4	0	Trump	-19722
Washington	1.3	65.2	24.9	8.1	0.4	0	Trump	-3665
Wilcox	0.6	27.4	72	0	0	0	Clinton	2592
Winston	2.8	94.3	0.5	0.3	0.2	0	Trump	-8354
Apache	6.3	19.3	0.6	71.7	0.4	0.1	Clinton	6881
Cochise	33.9	56.7	3.6	0.8	1.7	0.1	Trump	-9745
Coconino	13.8	54.7	1.4	26	1.6	0.1	Clinton	8735
Gila	18.6	63.7	0.6	15.1	0.6	0	Trump	-6926
Graham	31.8	51.7	1.9	12.9	0.6	0.1	Trump	-4724
Greenlee	47	47.2	1.4	2.8	0.4	0	Trump	-800
La Paz	25.5	59.9	0.2	12.2	0.8	0.3	Trump	-2063
Maricopa	30.1	57.3	4.9	1.6	3.7	0.2	Trump	-41425
Mohave	15.6	78.2	1	1.7	1.1	0.1	Trump	-38171
Navajo	11.1	42.6	0.5	43.1	0.6	0.1	Trump	-2803
Pima	35.7	53.7	3.3	2.4	2.6	0.1	Clinton	48630
Pinal	29.1	58	4.4	4.7	1.6	0.4	Trump	-18120
Santa Cruz	82.8	15.6	0.2	0.1	1	0.1	Clinton	7034
Yavapai	14.1	81.1	0.6	1.6	0.8	0	Trump	-29157
Yuma	61.1	33.5	1.9	1	1.2	0.1	Trump	-2250
Arkansas	2.9	70.3	25.3	0.1	0.4	0	Trump	-1886
Ashley	5.1	67.9	26	0.3	0.1	0	Trump	-2930
Baxter	1.9	95.3	0.3	0.6	0.5	0	Trump	-10492
Benton	16	75	1.5	1.4	3.4	0.4	Trump	-32857
Boone	2.2	94.5	0.4	0.7	0.5	0	Trump	-9300
Bradley	14	57	28.6	0	0	0	Trump	-846
Calhoun	3.5	73	22.2	0.1	0.2	0	Trump	-918
Carroll	14.3	81.6	0.4	0.3	0.4	1.2	Trump	-3439
Chicot	5.3	39.5	53.9	0.4	0.3	0	Clinton	634
Clark	4.3	69.6	23.9	0.1	0.8	0	Trump	-792
Clay	1.7	96	0.4	0.3	0.1	0	Trump	-1780
Cleburne	2.4	95.1	0.5	0.5	0.3	0	Trump	-7353
Cleveland	2	85	11	0.2	0.1	0	Trump	-1737
Columbia	2.7	59.2	35.5	0.3	0.7	0	Trump	-2316
Conway	3.9	81.8	12	0.7	0.1	0	Trump	-2189
Craighead	4.7	78.3	13.7	0.3	1.2	0.1	Trump	-12324
Crawford	6.6	85.9	1.1	1.4	1.6	0	Trump	-12179
Crittenden	2.3	44.4	50.7	0.2	0.6	0.2	Clinton	1415
Cross	1.7	73.6	22.8	0.3	0.6	0	Trump	-2582
Dallas	2.8	53.7	40.9	0	2.2	0	Trump	-342
Desha	4.6	46.4	47.8	0	0.1	0	Clinton	312
Drew	2.9	66.9	28.8	0.1	0.3	0	Trump	-1603
Faulkner	4	81.4	11.3	0.3	1.3	0	Trump	-14645
Franklin	2.7	92.8	0.7	1.6	0.3	0	Trump	-3658
Fulton	1.2	95.9	0.1	0.4	1.5	0	Trump	-2403
Garland	5.2	83	8.3	0.5	0.6	0	Trump	-13770
Grant	1.2	93.1	3.8	0.3	0.5	0	Trump	-3753
Greene	2.6	94.5	0.9	0.2	0.1	0	Trump	-7642
Hempstead	12.5	55.7	29.7	0.2	0	0	Trump	-2020
Hot Spring	3.1	83	11.7	0.6	0.2	0	Trump	-5016
Howard	10.6	66.1	21.8	0.9	0	0	Trump	-1805
Independence	6	89.3	2	0.3	0.9	0	Trump	-7047
Izard	1.8	95.8	1.2	0.2	0.2	0.3	Trump	-2931
Jackson	2.8	77.6	17.2	0.5	0.2	0	Trump	-1679
Jefferson	1.9	40.5	55.5	0.1	0.8	0.1	Clinton	6490
Johnson	13.4	81.5	1.5	0.4	1	0.2	Trump	-3651
Lafayette	1.2	59.7	38.2	0	0.2	0	Trump	-722
Lawrence	1.2	96.1	0.9	0.3	0.1	0	Trump	-2801
Lee	2.3	41	56.4	0.1	0	0	Clinton	506
Lincoln	3.5	65	30.7	0.3	0	0	Trump	-1203
Little River	3.1	73.4	20.7	1.2	0	0	Trump	-2207
Logan	2.5	91.6	1.8	0.9	2	0	Trump	-4025
Lonoke	3.9	87	6.1	0.5	0.6	0.1	Trump	-14264
Madison	5.2	90.9	0	0.5	0.6	0	Trump	-3330
Marion	2.2	94.8	0.3	0.7	0.7	0	Trump	-3700
Miller	3	69.8	24.7	0.4	0.1	0	Trump	-7020
Mississippi	3.8	59.6	34.5	0.1	0.3	0	Trump	-1367
Monroe	2.1	55.1	40.7	0.2	0.5	0	Trump	-102
Montgomery	3.7	91.9	0.6	0.7	0.6	0	Trump	-1838
Nevada	3.2	64.1	30.6	0.3	1.3	0	Trump	-845
Newton	1.1	94.4	0	1.4	0.5	0	Trump	-2176
Ouachita	2	55.7	40.1	0.2	0.2	0	Trump	-1027
Perry	2.7	92.7	2.1	0.3	0.1	0	Trump	-1944
Phillips	1.6	35.2	61.5	0.1	0.1	0	Clinton	1849
Pike	6.5	87.7	3.1	0.2	0.5	0	Trump	-2466
Poinsett	2.6	87.9	8.2	0.2	0	0	Trump	-1271
Polk	6.3	88.7	0.2	1.1	0.4	0	Trump	-5396
Pope	7.8	85.5	2.9	0.6	0.7	0	Trump	-10876
Prairie	1.1	85.4	12.3	0.4	0.1	0	Trump	-1691
Pulaski	5.9	54.2	35.4	0.3	2.1	0	Clinton	28195
Randolph	1.8	95.5	0.7	0.2	0	0	Trump	-3083
St. Francis	4.4	41.2	51.7	0.3	0.3	0	Clinton	836
Saline	4.1	87.1	5.8	0.3	0.9	0	Trump	-22605
Scott	7.5	84.4	0.2	1.6	2.9	0	Trump	-1871
